name,color,n_observed,seed_issues
Component - Misc,B86858,1134,"1,91,147,156,176,253,255,259,264"
Version - R 2.y.z,08C490,224,"1,14229,14235,14246,14256,14258,14260,14262,14267"
Hardware - PowerPC OS X v10.4,2A2050,1,1
Importance - P5 normal,657EA8,4615,"1,3,4,5,7,8,9,10,12"
Component - Language,D79E0F,413,"3,5,9,10,13,15,24,36,40"
Version - old,F89199,3658,"3,4,5,7,8,9,10,12,13"
Hardware - All All,990F74,1993,"3,18,19,21,22,24,25,26,37"
Component - Models,AA8309,258,"4,8,14,22,97,121,189,198,224"
Hardware - All Solaris,408520,196,"4,5,9,10,14,36,40,63,73"
Component - System-specific,4DCEF2,290,"7,25,39,71,83,92,120,127,145"
Hardware - All Other,A3DC44,267,"7,8,107,163,196,210,254,261,265"
Component - I/O,526257,318,"12,34,107,117,125,129,193,203,212"
Hardware - All Linux-Fedora,CF483D,114,"12,13,58,140,141,142,177,200,201"
Hardware - All Linux-Debian,88111C,78,"15,34,157,426,499,590,662,700,775"
Component - Documentation,E805D7,715,"18,19,52,75,133,146,181,182,191"
Component - Startup,370F29,49,"21,104,227,242,261,272,273,346,375"
Component - Analyses,0AB2E6,341,"26,116,136,144,157,159,216,217,228"
Component - Low-level,7D0761,661,"37,62,101,112,119,135,140,143,158"
Component - Graphics,2C9915,558,"38,41,42,45,56,61,65,66,69"
Hardware - All Linux,1D8484,755,"43,52,54,65,70,71,85,91,104"
Component - Windows GUI / Window specific,DBF6F9,450,"46,47,57,59,204,205,231,271,345"
Hardware - ix86 (32-bit) Windows 32-bit,884BB0,1163,"47,57,59,62,66,161,204,205,232"
Component - Installation,83EBDD,356,"58,134,165,177,183,223,247,262,280"
Component - Wishlist,BE3B99,449,"105,263,296,372,387,480,515,516,517"
Component - Add-ons,83307C,348,"122,164,243,313,431,443,471,503,538"
Component - Accuracy,4D907E,345,"138,161,594,630,631,643,699,741,842"
Status - CLOSED FIXED,3A9169,4168,"1,3,4,5,7,8,9,10,12"
Status - CLOSED INVALID,575BEB,921,"424,491,618,652,668,684,702,774,846"
Status - CLOSED WONTFIX,0D9B24,328,"105,202,263,616,754,816,914,1097,1126"
Status - NEW,858E5E,206,"408,988,1011,1384,1557,1861,2461,2606,3180"
Status - UNCONFIRMED,AD2D4D,390,"412,14335,14716,14730,14746,14998,15018,15308,15338"
Importance - P5 enhancement,921EF4,945,"616,914,11484,13560,14232,14236,14246,14247,14249"
Hardware - All OS X v10.5,BC5C76,72,"697,1111,1315,1338,1554,2276,2323,2813,4051"
Status - CLOSED Works as documented,3D99A6,52,"837,8265,14630,15762,16277,16359,16540,16884,16905"
Status - CLOSED NOT REPRODUCIBLE,CF9A96,428,"848,1020,1045,1215,1222,1231,1255,1261,1272"
Status - CLOSED WISHLIST,6C475F,37,"961,1241,8557,9350,14602,14607,14638,14878,14890"
Component - Mac GUI / Mac specific,A28565,236,"1015,1023,1103,1140,1318,1338,1819,1991,2025"
Status - ASSIGNED,6A7D7B,66,"1161,4246,8528,13679,14323,14354,14359,14408,14582"
Hardware - All FreeBSD,80E6B5,21,"1613,1624,2562,2993,4757,6596,7007,7890,7881"
Version - R 3.1.1,969094,78,"1662,15925,15933,15935,15936,15939,15940,15941,15951"
Hardware - x86_64/x64/amd64 (64-bit) All,C86373,38,"1662,14459,14546,14617,14771,14798,15012,15160,15211"
Status - CLOSED CONTRIBUTED PACKAGE,A6B7D8,157,"1729,2173,2499,2859,2933,2934,14457,14476,14484"
Version - R 3.0.2,BFC0B9,167,"2048,14478,15501,15503,15505,15507,15509,15510,15511"
Hardware - All Linux-Ubuntu,906329,44,"2048,8278,9080,9526,9623,9753,9768,9845,9906"
Importance - P5 critical,B5C22C,137,"2048,14239,14267,14270,14289,14292,14303,14352,14370"
Status - CLOSED WORKSFORME,7649FF,22,"2888,3325,9499,10850,14231,14238,14275,14316,14606"
Component - S4methods,C761A2,53,"4073,8021,8053,8112,8767,8768,8848,9753,10498"
Hardware - ix86 (32-bit) Windows 64-bit,626564,17,"6762,14239,14353,14372,14391,14406,14448,14471,14504"
Version - R 2.14.0,39F6C2,48,"6899,14698,14702,14712,14713,14714,14715,14716,14718"
Version - R 3.0.1,875A8A,127,"7991,15319,15327,15368,15369,15370,15372,15374,15375"
Hardware - All OS X v10.4,580877,63,"8014,8221,8265,8273,8405,8503,8647,8828,9014"
Status - REOPENED,51A159,13,"8192,15923,15941,16070,16154,16283,16585,16640,16752"
Component - Translations,236F25,20,"9308,9342,10367,13756,14309,14416,14957,14963,15236"
Hardware - All Windows 64-bit,5EB9BB,63,"9807,14284,14708,14721,14785,14948,14987,14996,15150"
Importance - P5 major,691B71,309,"9807,14255,14298,14300,14308,14312,14314,14315,14316"
Hardware - All AIX,A6D931,2,"13440,16136"
Hardware - ix86 (32-bit) All,CFBAF9,19,"13579,14191,14230,14241,14242,14246,14247,14251,14274"
Version - R 2.15.1,6E644C,60,"13684,15006,15007,15008,15010,15011,15012,15013,15014"
Hardware - All OS X v10.8,3346F2,4,"13684,15107,15140,15468"
